year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2002,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,7690.975059
2003,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,5761.893176
2003,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,18.99
2003,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,4.77
2003,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,2374.844471
2003,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2003,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2003,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,1195.012235
2003,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,10869.24635
2003,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,214.0175294
2003,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,75.59682353
2003,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,313.2797647
2003,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,13760.99259
2003,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,4369.946824
2003,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,77277.94412
2003,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,7013.844353
2003,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,10423.92529
2003,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,611.0082353
2003,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,476.9068235
2003,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,531.8018824
2003,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,1255.759765
2003,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,6319.564588
2003,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,286.5578824
2003,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,361.0764706
2003,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,13525.60165
2003,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,9749.814353
2003,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,39976.67965
2003,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,1701.709412
2003,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,2441.478353
2003,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,11893.78976
2003,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,6172.663412
2003,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,1663.109294
2003,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,7032.819176
2003,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,1149.123529
2003,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,12896.89129
2004,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,5588.036118
2004,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,1.17
2004,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,55.52858824
2004,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,4448.904
2004,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2004,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2004,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,2085.21
2004,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,45501.86859
2004,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,150.12
2004,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,205.9150588
2004,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,537.9744706
2004,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,34136.39576
2004,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,10962.48176
2004,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,56650.45624
2004,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,14942.65412
2004,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,22879.64047
2004,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,3541.542706
2004,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,781.4403529
2004,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,1093.858941
2004,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,2182.387412
2004,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,4992.962824
2004,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,489.6
2004,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,177.5664706
2004,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,14049.26365
2004,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,14086.10188
2004,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,192682.9408
2004,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,2815.912235
2004,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,5756.534824
2004,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,21490.58329
2004,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,19204.21694
2004,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,3304.050706
2004,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,14311.13118
2004,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,3472.157294
2004,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,27597.04976
2005,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,9770.899765
2005,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,11.25
2005,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,16.19717647
2005,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,2135.484
2005,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2005,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
