year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
2002,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,872730.7126
2002,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,2105414.668
2003,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3615809.327
2003,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63722.36082
2003,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65977.05953
2003,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,264495.0307
2003,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8
2003,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706
2003,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,346070.1247
2003,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,2142750.778
2003,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,293801.6566
2003,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,88344.96459
2003,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,265778.3531
2003,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,9734025.138
2003,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1045041.09
2003,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,8145626.545
2003,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6609567.629
2003,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3995777.029
2003,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,269162.0015
2003,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,229046.2648
2003,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,265371.9688
