year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,gross_greenhouse_gas_emissions_from_deforestation_tonnes_co₂-
2002,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,904797.3607
2002,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,3164996.22
2003,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,2624791.027
2003,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,8355.5
2003,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,1816.200374
2003,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,1227333.957
2003,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2003,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2003,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,550029.0652
2003,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,4163522.383
2003,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,100496.6435
2003,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,34821.05421
2003,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,138617.0438
2003,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,5890136.194
2003,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1426274.993
2003,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,26894784.68
2003,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,2936137.423
2003,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,4227570.203
2003,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,225202.9828
2003,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,189345.238
2003,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,245091.9715
2003,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,607771.362
2003,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,3107481.079
2003,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,122402.1847
2003,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,134259.0824
2003,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,5216346.99
2003,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,4723024.477
2003,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,14915450.94
2003,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,788569.8325
2003,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1179571.478
2003,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5664145.175
2003,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,2908627.244
2003,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,852701.9958
2003,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,3070937.487
2003,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,534219.5002
2003,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,5081167.601
2004,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,2239850.395
2004,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,551.7408945
2004,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,22608.85392
2004,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,2312302.326
2004,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2004,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2004,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,967833.4145
2004,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,17793874.37
2004,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,67907.94786
2004,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,98080.29528
2004,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,229289.066
2004,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,14279750.45
2004,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,4015988.388
2004,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,22938815.92
2004,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6356419.739
2004,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,9982740.598
2004,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,1359166.066
2004,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,301157.2794
2004,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,507585.5436
2004,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,1064187.047
2004,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2510432.047
2004,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,202977.7588
2004,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,70826.95016
2004,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,6265735.542
2004,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,7105189.901
2004,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,74002861.44
2004,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,1334496.668
2004,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,2680051.405
2004,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,10381603.5
2004,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,9257348.51
2004,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,1678446.378
2004,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,6142588.108
2004,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,1637860.457
2004,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,11070219.56
2005,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3713744.784
2005,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,4221.651666
2005,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,6797.928971
2005,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,1132676.192
2005,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2005,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2005,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,695619.2155
2005,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,16319396.56
2005,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,29807.91412
2005,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,27968.99982
