pulau,id_pulau,total_emisi_co2_2013_2022_ton,total_deforestasi_2013_2022_ha,jumlah_provinsi,kontribusi_emisi_persen
KALIMANTAN,ID-KA,832875757.2590001,2001660.387771,5,44.69986612584352
SUMATERA,ID-SM,529972817.79371,1286639.1133631,10,28.443274761265613
PAPUA,ID-PP,228143631.541,478032.836087,2,12.244310989322258
SULAWESI,ID-SL,196598431.2601,409194.91270630003,6,10.551301897414374
MALUKU,ID-ML,68911992.8591,137337.590457,2,3.6984590179504457
NUSA TENGGARA,ID-NU,4392736.2230166,11071.53458812,3,0.23575511639477936
JAWA,ID-JW,2366941.08576864,5650.168941339,6,0.12703209180900146
